Producto,Descripción,U. de S.,Precio público,precio de lista 4
HOLLIDAY-004,PIMOCARD 2.5 20 TABLETAS,pz,,
HOLLIDAY-005,PIMOCARD 5 20 TABS 55025,pz,,
HOLLIDAY-006,ENZIMAX 2 BLISTIER C/10 COMP 55042,pz,,
HOLLIDAY-010,RELAY C 10 COMP,pz,,
HOLLIDAY-011,CARDIAL 5MG 3 BLISTERS X 10 COMP 55012,pz,,
HOLLIDAY-013,OL-TRANS FLEX 10 BLISTIER X7 COMPRIMIDOS,pz,,
HOLLIDAY-015,CARDIAL B 2.5MG 2 BLISTERS X10 COM 55020,pz,,
HOLLIDAY-016,CARDIAL B 5MG 2 BLISTER X 10 COMP 55021,pz,,
HOLLIDAY-017,CARDIAL B 10MG 2 LISTERS X 10 COMP.,pz,,
HOLLIDAY-030,PROTELIV TAB 3BLIS X 7COMP 55048,pz,890.0,623.0
HOLLIDAY-032,PROTELIV PASTA 7GR PARA GATOS,pz,550.0,385.0
INNOPHARMA-,BISMUXIL PET´S PASTA ORAL JGA/30ML N0002,pz,460.0,322.0
INNOPHARMA-,CLINDASERIN GEL CAJA C/TUBO C/30G TOP,pz,496.0,347.2
INNOPHARMA-,DOLFENO 40MG CAJA C/20 N0251,pz,516.0,361.2
INNOPHARMA-,DOLFENO 80MG CAJA C/20             N0252,pz,586.0,410.2
INNOPHARMA-,INNOPRAMID GOTAS FCO. 25ML,pz,186.0,130.2
INNOPHARMA-,MELOXINN SOL CJA. FCO 30ML. INY N0076,pz,410.0,287.0
INNOPHARMA-,PROTOZOL-S FCO 120ML N0190,pz,346.0,242.2
INNOPHARMA-,SILIPROTEC FCO. 60 TABLETAS N0193,pz,510.0,357.0
INNOPHARMA-,TERBIGERM SHAMPOO FCO. 250ML TÓPICO,pz,450.0,315.0
INNOPHARMA-,NIXOREN CJA. X/20 TAB. N0181,pz,196.0,137.2
INNOPHARMA-,NIXOREN-150 CAJA C/20 TAB. ORAL N0889,pz,400.0,280.0
INNOPHARMA-,RESVEFLEX P TAB CJA. C/100,pz,1340.0,938.0
INNOPHARMA-,SUCRALVET GEL JERINGA 15ML N0353,pz,368.0,257.6
INNOPHARMA-,SUCRALVET GEL JGA.30ML N0352,pz,450.0,315.0
INNOPHARMA-,AZITRO-VET CAJA C/FCO P/30ML ORAL N0324,pz,300.0,210.0
INNOPHARMA-,BISMUXIL-P POLVO CAJA C/3 SOB.15GR N0733,PIEZA,396.0,277.2
INNOPHARMA-,BRONAVERIO TAB CAJA 20 TAB. ORAL,pz,396.0,277.2
INNOPHARMA-,CIS-A-PRID SUSP. CJA C/FCO. 20ML,pz,286.0,
INNOPHARMA-,CLINDAFUR SOL. INY. 25ML N0319,pz,396.0,277.2
INNOPHARMA-,CLOSBUTIL POL SOBRES C/5G ORAL,PIEZA,90.0,63.0
INNOPHARMA-,KALMAX 10MG ORAL CJA. C/10TAB N0523,pz,320.0,224.0
INNOPHARMA-,MARBOREN TAB. CJA C/BLISTER C/10 ORAL,pz,360.0,252.0
INNOPHARMA-,NEODERM POL (TUBO CON 30 GR) TOP,pz,386.0,270.2
INNOPHARMA-,ONDANTRON 10ML  N0337,pz,780.0,546.0
INNOPHARMA-,ONDANTRON 50ML INY,pz,2000.0,1400.0
INNOPHARMA-,CLINDAFUR-S 30 ML ORAL N0320,PIEZA,426.0,298.2
INNOPHARMA-,TERBIGERM 120 C/ATOMIZADOR ML N0180,pz,396.0,277.2
INNOPHARMA-,TERBIGERM OTICO TUBO 15 GR N0149,pz,530.0,371.0
INNOPHARMA-,ULCETRAT 10MG C/10 TAB,pz,180.0,126.0
INNOPHARMA-,PRE&PROBIOS  SOBRE C/3GR ORAL N0955,PIEZA,50.52,35.362
INNOPHARMA-,ULCETRAT 50MG CJA C/10 TABLETAS,pz,280.0,196.0
INNOPHARMA-,SPIRUVET C/60 TAB       N0310,pz,448.28,313.79
INNOPHARMA-,CEFALAX-S SOL  50ML N0328,pz,416.0,291.2
INNOPHARMA-,CEFALAX 10ML,pz,216.0,151.2
INNOPHARMA-,CEFALAX -50 50ML INY N0187,pz,638.0,446.6
INNOPHARMA-,CLEMASTINE TAB C/20 N0363,pz,320.0,224.0
INNOPHARMA-,FUNGOFLUX TAB C/14  N0207,pz,346.0,242.2
INNOPHARMA-,HIALUDOL 4ML                    N0954,pz,1626.0,
INNOPHARMA-,TOLEDINN 50 ML,pz,420.0,294.0
INNOPHARMA-,DOLO-FEBRE TAB. C/15 150mg         N0366,pz,470.0,329.0
INNOPHARMA-,DOLFENO 120MG CAJA C/20      N0253,pz,740.0,518.0
INNOPHARMA-,KALMAX 20MG ORAL CAJA C/10 TABLETAS,pz,376.0,263.2
INNOPHARMA-,TERBIGERM P 120 C/ATOMIZADOR  N0182,pz,490.0,343.0
INNOPHARMA-,DENTAL BOOST ORAL CAJA C/100 TABS N0088,pz,2731.034,1911.72
INNOPHARMA-,DENTAL BOOST TAB CAJA C/30 TABS  N0089,pz,905.17,633.62
INNOPHARMA-,TILOSSIN 100  10 TABLETAS N0709,pz,386.0,270.2
INNOPHARMA-,TILOSSIN 300 TABLETAS C/10 TAB  N0710,pz,660.0,462.0
INNOPHARMA-,MARBORENFLU 10 TABLETAS N0711,pz,530.0,371.0
INNOPHARMA-,AMIODARINN TAB CAJA C/30 N0706,pz,870.0,609.0
INNOPHARMA-,HEMOFINN TAB CJA C/10 N0707,pz,596.0,417.2
INNOPHARMA-,HEMOFINN TAB CJA C/30 N0708,pz,1320.0,924.0
INNOPHARMA-,INNOHEART TAB CAJA C/30 N00705,pz,310.0,217.0
INNOPHARMA-,INMUNOVET PRO 75GR     N0068,pz,1010.345,707.24
INNOPHARMA-,RESVEFLEX 20 TAB CAJA C/60,pz,1120.0,784.0
INNOPHARMA-,NEUROINN C/60 TABLETAS      N0094,pz,1122.41,785.69
INNOPHARMA-,UROINN 75GR     N0722,pz,775.86,543.1
INSECTICIDA-,FAENA NORMAL 1 LTO,pz,0.0,200.0
INSECTICIDA-,SANGHA GEL 30 GR,pz,195.0,
INSECTICIDA-,ANTEX 227 GR. 5 LBS,pz,180.0,137.0
INSECTICIDA-,TROMPA 100 GR.,pz,75.0,51.0
INSECTICIDA-,DAGGER SOBRE 20 GR,pz,80.0,52.0
INSECTICIDA-,FAENA FUERTE 1 LTS.,pz,0.0,230.0
INSECTICIDA-,DAGGER TARRO 1 KG,pz,1100.0,722.0
INSECTICIDA-,RAT KILL SOBRE,PIEZA,0.0,12.0
INSECTICIDA-,ANTEX TARRO 75 GR,pz,85.0,56.5
INSECTICIDA-,DAGGER 100 GR,pz,185.0,120.0
INSTRUMENTA,JERINGA DESECH. 1 ML,pz,0.0,0.0
INSTRUMENTA,JERINGA DESECH. 10 ML.,pz,0.0,3.5
INSTRUMENTA,JERINGA DESECH. 20 ML,pz,0.0,5.15
INSTRUMENTA,JERINGA DESECH.  5 ML,pz,0.0,3.07
INSTRUMENTA,JERINGA DESECH. 3 ML.,pz,0.0,2.37
INSTRUMENTA,AGUJA DESECHABLE,pz,0.0,1.1
INSTRUMENTA,AGUJA ALUMINIO DIFERENTES MEDIDAS,pz,0.0,4.1
INSTRUMENTA,FUNDA FRANCESA PAQ. C/50 PZA.,pz,0.0,110.0
INSTRUMENTA,GUANTE P/PALPAR KRUTEX     HY-TEC,pz,0.0,2.0
INSTRUMENTA,MARCADOR PUNTO MEDIANO P/ARETE,pz,0.0,200.0
INSTRUMENTA,GUANTE ESTERIL LATEX,pz,0.0,4.3
INSTRUMENTA,"VENDA POWERFLEX - HY-TEC - COHESIVA 4""",PIEZA,0.0,
INSTRUMENTA,BIBERON URUS 50 ML,pz,0.0,0.0
INSTRUMENTA,COLLAR ISABELINO #3  (12.5CM),pz,0.0,69.0
INSTRUMENTA,COLLAR ISABELINO #4  (15 CM),pz,0.0,108.0
INSTRUMENTA,COLLAR ISABELINO #5  (20 CM),pz,168.26,118.0
INSTRUMENTA,COLLAR ISABELINO # 6 (25CM),pz,0.0,159.0
INSTRUMENTA,COLLAR ISABELINO # 7 (30 CM),pz,0.0,195.0
INSTRUMENTA,COLLAR ISABELINO # 1 (7.5CM),pz,69.09,52.0
KANTEK-001,KANTEK ALIMENTO SECO ADULTO 20K,pz,1725.84,1311.65
KANTEK-002,KANTEK ALIMENTO SECO ADULTO 2KG,pz,223.91,154.5
KANTEK-005,KANTEK ALIMENTO SECO CACHORRO 2KG,pz,256.0,171.53
KANTEK-006,KANTEK ALIMENTO SECO ADULTO R.PEQ.. 2KG,pz,264.23,171.75
KANTEK-008,KANTEK ALIMENTO SECO FELINOS 1.5KG,pz,233.63,156.53
KIRON-001,DETER 5  60TABLETAS,pz,348.6,244.02
KIRON-011,AZITROKIR M 200 6 TABLETAS LKM002,pz,292.0,204.4
KIRON-012,AZITROKIR M SUSPENSION 30ML LKM004,pz,309.0,216.3
KIRON-013,KIROPRED 5 20TAB LKM015,pz,277.0,193.9
KIRON-014,KIROPRED 20 20 TAB LKM016,pz,333.0,233.1
KIRON-015,KIROPRED 50 20TAB LKM017,pz,542.0,379.4
KIRON-016,KIR-ANTHEL PUPPIES 25ML LKM034,pz,200.0,140.0
KIRON-017,KIR-ANTHEL PUPPIES 200 ML LKM043,pz,434.0,
KIRON-018,KIR-ANTHEL 10 CJA C/20 TAB LKM037,pz,630.0,441.0
KIRON-019,KIR-ANTHEL 35 CJA 10 TAB   LKM038,pz,913.0,639.1
KIRON-021,METRAZOL SUSPENSION 30ML LKM053,pz,137.0,95.9
KIRON-022,METRAZOL 250 14TAB LKM054,pz,125.0,87.5
KIRON-023,METRAZOL 500 14 TAB LKM055,pz,152.0,106.4
KIRON-026,GASTROZOL 20 14TAB LKM059,pz,126.0,88.2
KIRON-027,FRAGANCIAS KIRON 100 ML VARIOS AROMAS,pz,189.84,132.89
KIRON-028,KIROSULF-T 60ML LKM010,pz,152.0,106.4
KIRON-030,KIROFTAL GENTA 12ml  Oftalmica LKM032,pz,149.0,104.3
KIRON-031,KIROFTAL DICLO 12ML Oftalmica LKM033,pz,151.0,105.7
KIRON-032,KIROFTAL AZITROKIR 5ML Oftalmic  LKM1010,pz,290.0,203.0
KIRON-036,PERFORMANCE AGES 30 TAB Suplementos 023,pz,420.0,294.0
KIRON-038,PERFORMANCE RECONST VITAMINAS 30T LKM025,pz,270.0,189.0
KIRON-039,CONDROPROTECTOR VITAMINADO 30 TAB LKM071,pz,608.0,425.6
KIRON-040,AZITROKIR M 400 6 TABLETAS LKM003,pz,381.0,266.7
KIRON-041,KIROFTAL DEXA 5 ML Oftamica LKM1012,pz,126.0,88.2
KIRON-042,KIROFTAL KIROPRED 5 ML Oftalmico LKM1009,pz,152.0,106.4
KIRON-043,GASTROZOL 5 14 TAB  LKM058,pz,109.0,76.3
KIRON-044,KIROFTAL NEODEX 5 ML  Oftalmica LKM1013,pz,164.0,114.8
KIRON-049,KIRODROXIL 200 7 TABLETAS LKM005,pz,186.0,
KIRON-055,QUIROFLOX 2.5% 30ml LKM039,pz,130.0,91.0
KIRON-056,COX II 1MG 30 TAB LKM011,pz,429.0,300.3
KIRON-058,COX II 4 MG 30 TAB LKM013,pz,708.0,495.6
KIRON-065,N-EMESIS SOL. ORAL 15ML LKM028,pz,87.0,60.9
KIRON-066,BIOEST-3 V 30ML LKM029,pz,212.0,148.4
KIRON-067,KIROTIC 4L Otico  18ML LKM030,pz,191.0,133.7
KIRON-068,KIROSEPTIC SPRAY 100 ML LKM031,pz,179.0,125.3
KIRON-079,KIRODROXIL 200 100 TABLETAS LKM072,pz,1411.0,987.7
KIRON-081,KIR-ANTHEL MAX 30 EXH C/20 TAB LKM116,pz,2265.0,1585.5
KIRON-086,TERBINAFIN C/20 TAB   LKM113,pz,325.0,227.5
KIRON-095,KIROFTAL CICLOSPORIN 5 ML LKM126,pz,461.0,322.7
KIRON-105,SUCRAL SUSP. 60ML,pz,215.0,150.5
KIRON-106,VIBIX C5,pz,0.0,0.0
KIRON-107,VIBIX C6R 1ML,pz,0.0,0.0
KIRON-109,ACALMA CATS SPRAY 60ML,pz,0.0,0.0
KIRON-110,ACALMA DOGS SPRAY 60ML,pz,0.0,0.0
KIRON -034,LAGRIVET 8 GR Oftalmica,pz,161.0,112.7
LABYES-001,TEARS LAGRIMAS 8ML,pz,485.0,363.75
LABYES-002,GERIOOX 30 COMP,pz,1145.0,858.75
LABYES-003,CREMA 6A 15.0G,pz,305.0,
LABYES-004,CONDROITIN INY. 5 ML,pz,1145.0,858.75
LABYES-008,FELINE FULLSPOT .5-2 KG .40ML,pz,365.0,273.75
LABYES-009,FELINE FULLSPOT 2-5KG .80ML,pz,405.0,303.75
LABYES-010,FELINE FULLSPOT + 5KG 1.2ML,pz,425.0,318.75
LABYES-012,TOBRAMAX 5ML,pz,585.0,438.75
LABYES-013,CIPROVET 5ML,pz,645.0,483.75
LABYES-016,TAU OFTALMICO COLIRIO ANTIB. 10ML,pz,245.0,183.75
LABYES-017,TAU OFTALMICO COLIRIO ANTIB. C/EST,pz,285.0,213.75
LABYES-018,OCUBIOTIC CLIRIO ANTIB. 5 ML,pz,325.0,243.75
LABYES-020,OSTEOCART PLUS 30 COMP,pz,825.0,618.75
LABYES-021,PROTECH GATOS HASTA 5KG,pz,205.0,153.75
LABYES-022,PROTECH GATOS  MAS DE 5KG,pz,225.0,168.75
LABYES-032,FELINE ENDOSPOT .5-2KG .40ML,pz,305.0,228.75
LABYES-033,FELINE ENDOSPOT 2-5KG .80ML,pz,345.0,258.75
LABYES-034,FELINE ENDOSPOT +5KG 1.20ML,pz,365.0,273.75
LABYES-073,TRIHEPAT 100ML,pz,625.0,468.75
LAPISA-019,TRAK 1 LTO,pz,0.0,352.0
LAPISA-026,TRAK 100 ML,pz,220.24,154.6
LAPISA-031,BIOPAR 100 ML,pz,0.0,92.0
LAPISA-039,GARRABAN 100 ML,pz,309.21,
LAPISA-060,DECTIVER PREMIUM 500 ML. 3.15%,pz,0.0,1540.0
LAPISA-068,BROMUCOL 100 ML,pz,393.81,275.66
LAPISA-082,TICOFF 30 ML,pz,115.93,81.58
LAPISA-089,TICOFF 100 ML,pz,326.33,229.0
LAPISA-092,BOVIMUNE SINGLE SHOT 250 ML 50 DS,pz,0.0,307.0
LAPISA-104,PROMETABOL ADE 100 ML,pz,2569.14,1797.68
LAPISA-200,DERMOSCENT 10 ESSENTIAL 4X.6ML SPOTONDOG,pz,894.09,625.71
LAPISA-201,DERMOSCENT 40 ESSENTIAL 4X2.4 SPOTON DOG,pz,1158.08,810.95
LAPISA-202,DERMOSCENT BIO BALM 50ML,pz,867.83,608.21
LAPISA-203,DERMOSCENT ESSENTIAL 6 4X0.6ML SPOTONCAT,pz,892.62,624.26
LAPISA-204,DERMOSCENT CICAFOLIA 30ML,pz,808.03,565.91
LAPISA-205,DERMOSCENT PYO CLEAN OTO 10X5ML,pz,784.69,549.87
LAPISA-206,ESSENTIAL 6 SEBO SHAMPOO 200ML,pz,339.84,259.62
LAPISA-207,ATOP 7 SHAMPOO 200ML,pz,475.48,364.64
LAPISA-208,PYOCLEAN SHAMPOO 200ML,pz,351.5,268.37
LAPISA-209,ATOP 7 SPOT-10 4X0.6ML 0-10KG DERMOSCENT,pz,1220.3,854.99
LAPISA-210,ATOP 7 SPOT-20 4X1.2.10-20KG DERMOSCENT,pz,1452.5,1016.75
LAPISA-211,DERMOSCENT 40 ATOP 7 SPOT 4X2.4ML,pz,1728.09,1209.66
LAPISA-212,PROMETABOL ADE 20ML,pz,238.56,166.95
LAPISA-213,NEURECIA 20ML,pz,2100.98,
LAPISA-214,SHIELD IN 60 TABLETAS,pz,1098.65,768.35
LAPISA-215,SHIELD OUT 112.5MG-2A 4.5KG,pz,591.0,236.0
LAPISA-216,SHIELD OUT 250MG 4.5 A 10KG,pz,622.0,249.0
LAPISA-217,SHIELD OUT 500MG 10 A 20KG,pz,651.0,260.0
LAPISA-218,SHIELD OUT 1000MG 20 A 40KG,pz,690.0,276.0
LAPISA-222,DERMOSCENT 10 PYO SPOT-ON  4 PIP.X 0.6ML,pz,1121.61,784.69
LAPISA-223,DERMOSCENT 20 PYO SPOT-ON  4 PIPX1.2ML,pz,1333.1,933.46
LAPISA-224,DERMOSCENT 40 PYO SPOT-ON 4 PIP X2.4ML,pz,1585.42,1109.94
LAPISA-225,DERMOSCENT AROMACALM FOR DOGS 1COLLAR,pz,1029.73,720.52
LAPISA-226,DERMOSCENT AROMACALM FOR CATS 1COLLAR,pz,901.37,631.55
LAPISA-227,KANEOZOL 60ML,pz,134.18,93.34
LAPISA-230,DERMOSCENT ATOP SPRAY 75ML,pz,1080.77,756.98
LAPISA-231,DERMOSCENT ESSENTIAL MOUSSE FOR CATS,pz,726.35,509.03
LAPISA-232,DERMOSCENT ESSENTIAL MOUSSE FOR DOGS,pz,787.61,551.32
LAPISA-234,TRAK 40ML,pz,168.9,118.8
LAPISA-239,DORSO PET GUARD SPOT ON 1 PIPETA 0.5ML,pz,307.73,216.13
LOEFFLER-001,SULFATO DE ATROPINA 60 ML.,pz,674.0,471.8
LOEFFLER-002,ESTROL 10 ML,pz,190.0,133.0
LOEFFLER-004,SULFATO DE ATROPINA 10 ML,pz,121.92,85.344
LOEFFLER-013,TRIAMIDOL 20ML. INY,pz,642.0,
LOEFFLER-015,TOLERAX 100ML. INY,pz,1124.0,786.8
MAVER-007,CUFER PERROS Y GATOS 250ML,pz,0.0,110.0
MEDERILAB-,EPILEPXIS 5 30 TAB.,pz,320.0,240.0
MEDERILAB-,EPILEPXIS 10 30 TAB,pz,444.0,333.0
MEDERILAB-,BLOCK IN PETS 60 ML,pz,84.0,63.0
MEDERILAB-,BLOCK IN PETS 100 ML,pz,121.0,90.75
MEDERILAB-,DERMISAN SPRAY 60 ML,pz,185.0,138.75
MEDERILAB-,FORTE SPRAY 120ML,pz,172.0,129.0
MEDERILAB-,FORTE SPRAY 240ML,pz,320.0,240.0
MEDERILAB-,EPILEPXIS 30 30TAB,pz,864.0,648.0
MEDERILAB-,LEVIVET INY. 25ML,pz,1059.0,794.25
MEDERILAB-,LEVIVET 10 C/30 TAB,pz,667.0,500.25
MEDERILAB-,ENRODIP 30 TABLETAS,pz,306.0,229.5
MEDERILAB-,METOCLOP 50ML INY,pz,246.0,184.5
MEDERILAB-,METOCLOP ORAL 10 ML INY.,pz,84.0,63.0
MEDERILAB-,CEFALMED 30 30TAB,pz,790.0,592.5
MEDERILAB-,MOXID 100ML INY.,pz,333.0,249.75
MEDERILAB-,METOCLOP ORAL 20ML,pz,84.0,63.0
MEDERILAB-,NIDAZOL ORAL 60ML,DAZO,96.0,120.0
MEDERILAB-,RELAAX 30ML ORAL,pz,147.0,
MEDERILAB-,OTISAN OTICO 20ML,pz,172.0,129.0
MEDERILAB-,DERMISAN SHAMPOO 340ML,pz,333.0,249.75
MEDERILAB-,GLUTAMINA TARRO 90 GR,pz,234.0,175.5
MEDERILAB-,E 150 30 TAB.,pz,691.0,518.25
MEDERILAB-,CEFALMED -10 30 TAB,pz,394.0,295.5
MEDERILAB-,CLINDACIN -10 30 TAB,pz,444.0,333.0
MEDERILAB-,CLINDACIN -30 30TAB,pz,765.0,573.75
MEDERILAB-,FIPROMED GATO 38 ML,pz,158.0,118.5
MEDERILAB-,ENROCAM 25 ML,pz,135.0,101.25
MEDERILAB-,DERMISAN-10 30 TAB.,pz,320.0,240.0
MEDERILAB-,GENTADEX SOL. OFTALMICA 10 ML,pz,123.0,92.25
MEDERILAB-,ENROCAM-10 100ML,pz,543.0,407.25
MEDERILAB-,CLORHEXIN SPRAY 60ML,pz,122.0,91.5
MEDERILAB-,NIDAZOL iv INY.100ML,pz,135.0,101.25
MEDERILAB-,SINDOL 10 30 TAB,pz,407.0,305.25
MEDERILAB-,SINDOL 30 30 TABLETAS,pz,543.0,407.25
MEDERILAB-,LEVIVET SUSP ORAL 150ML,pz,1197.0,897.75
MEDERILAB-,NIDAZOL-10 C/30 TABLETAS,pz,222.0,166.5
MEDERILAB-,GASTRYL ORAL 20ML,pz,98.0,73.5
MEDERILAB-,CARTIMED C/30 TABLETAS,pz,543.0,
MEDERILAB-,ENRO SUSPENSION 20ML,pz,98.0,73.5
MEDERILAB-,PREGABALYN-5 30 TAB,pz,382.0,286.5
MEDERILAB-,ALBEN MAX 30 30TAB,pz,1470.0,1102.5
MEDERILAB-,OMEPRA C/30 TABLETAS,pz,197.0,147.75
MEDERILAB-,DOXIMED -30 30 TAB.,pz,593.0,444.75
MEDERILAB-,RESPIMED 30 TAB,pz,296.0,222.0
MEDERILAB-,DETECCION DE AG PARVOVIRUS,pz,363.0,272.25
MEDERILAB-,TRISUL D 100ML,pz,529.0,396.75
MEDERILAB-,NIDAZOL-30 30 TABLETAS,pz,469.0,351.75
MEDERILAB-,ARTRODOL-10 30 TABLETAS,pz,526.0,394.5
MEDERILAB-,CLORHEXIN GEL,pz,320.0,240.0
MEDERILAB-,LAGRIMED 10ML SOL. OFTALMICA,pz,147.0,110.25
MEDERILAB-,ALBEN MAX 10 30 TAB,pz,715.0,536.25
MEDERILAB-,DERMISAN-30 30 TABLETAS,pz,667.0,500.25
MEDERILAB-,OTILAV SOL. OTICA 120 ML,pz,147.0,110.25
MEDERILAB-,OFTALGEN SOL. OFTALMICA 10 ML,pz,98.0,73.5
MEDERILAB-,OFTALDIC SOL. OFTALMICA 10 ML,pz,98.0,73.5
MEDERILAB-,DOXIMED-10 30 TABLETAS,pz,320.0,240.0
MEDERILAB-,LEVIVET-30 30 TAB,pz,1409.0,1056.75
MEDERILAB-,TRISUL PETS 60ML,pz,160.0,
MEDERILAB-,"DETECCION DE CPV/CCV,CORONAVIRUS,GIARDIA",pz,482.0,361.5
MEDERILAB-,DETECCION AG LEUCEMIA /INMUNODEF FELINA,pz,586.0,439.5
MEDERILAB-,NUTRIVIT 30 TABS.,pz,333.0,249.75
MEDERILAB-,ALBEN MAX PUPPY ORAL 20ML,pz,135.0,101.25
MEDERILAB-,CLAXIN ORAL 15ML,pz,135.0,101.25
MEDERILAB-,COCCIMED-5 30 TAB,pz,529.0,396.75
MEDERILAB-,COCCIMED 10 30 TABLETAS,pz,790.0,592.5
MEDERILAB-,CLORHEXIN JABON,pz,98.0,73.5
MEDERILAB-,PREGABALYN-30 30 TABLETAS,pz,1149.0,861.75
MEDERILAB-,TRISUL PETS 20ML,pz,98.0,73.5
MEDERILAB-,ALBEN PUPPY 30 TABLETAS,pz,320.0,240.0
MEDERILAB-,CLAXIN-30 30 TABS,pz,1112.0,834.0
MEDERILAB-,CLAXIN-10 30 TABS,pz,529.0,396.75
MEDERILAB-,NUTRIVIT GEL 120.5 GRS,pz,333.0,249.75
MEDERILAB-,CLINDAGEN 100 ML,pz,889.0,666.75
MEDERILAB-,SILKY SHAMPOO 240ML,pz,184.0,138.0
MEDERILAB-,RENALOF PETS ORAL 150ML,pz,1112.06,889.65
MEDERILAB-,GASTRYL INY 50ML     68527,pz,222.0,166.5
MEDERILAB-,MEGLUDOL 25ML,pz,172.0,129.0
MEDERILAB-,GLUTAMINA C/12 SOBRES,pz,407.0,
MEDERILAB-,FORTE JABON 100GR,pz,98.0,73.5
MERIAL-060,NEXGARD SPECTRA PP/EXCHICO 2-3.5 kG 7070,pz,411.88,205.94
MERIAL-061,NEXGARD SPECTRA P/ CHICO 3.5-7.5KG 27071,pz,435.66,217.83
MERIAL-062,NEXGARD SPECTRA M /MED 7.5-15KG .27072,pz,461.26,230.63
MERIAL-063,NEXGARD SPECTRA G / GDE 15-30KG 27073,pz,487.01,243.51
MERIAL-064,NEXGARD SPECTRA GG/EXGDE 30-60KG 27074,pz,550.58,275.29
MICROSULES-,SUERO VITMIC 500 ML COMPLEMENTO,pz,0.0,198.0
MSD-018,GORBAN 100 ML,PIEZA,0.0,731.4
MSD-023,PANACUR SOBRE 10.23 GR 22%,PIEZA,0.0,82.18
MSD-024,PANACUR SOBRE 12.5 GR 4%,PIEZA,0.0,45.08
MSD-025,PANACUR SUSP. 10% 1 LTO,PIEZA,0.0,1727.3
MSD-029,TAKTIC 1 LTO,PIEZA,0.0,537.05
MSD-030,TAKTIC 200 ML,PIEZA,0.0,219.65
MSD-032,T-61 50ML,PIEZA,1725.0,1208.0
MSD-035,VETALGINA 100 ML,PIEZA,0.0,277.15
MSD-036,VETALGINA 50 ML,PIEZA,0.0,204.7
MSD-037,SALIX 10 ML,PIEZA,329.0,230.0
MSD-046,BRAVECTO 112.5 MG 1 TAB 2 - 4.5 KG,PIEZA,741.0,333.0
MSD-047,BRAVECTO 250.0 MG 1 TAB 4.5-10 KG,PIEZA,781.0,351.0
MSD-048,BRAVECTO 500.0 MG 1 TAB 10- 20 KG,PIEZA,817.0,
MSD-049,,,,
MSD-050,,,,
MSD-057,,,,
MSD-071,,,,
MSD-079,,,,
MSD-080,,,,
MSD-081,,,,
MSD-082,,,,
MSD-083,,,,
MSD-084,,,,
MSD-086,,,,
MSD-089,,,,
MSD-092,,,,
MSD-094,,,,
MSD-095,,,,
MSD-098,,,,
MSD-099,,,,
MSD-103,,,,
MSD-105,,,,
MSD-112,,,,
MSD-116,,,,
MSD-120,,,,
MSD-121,,,,
MSD-122,,,,
MSD-123,,,,
MSD-124,,,,
MSD-125,,,,
MSD-127,,,,
MSD-128,,,,
MSD-129,,,,
MSD-130,,,,
MSD-131,,,,
NEOGEN-001,,,,
NEOGEN-002,,,,
NEOGEN-003,,,,
NEOGEN-004,,,,
NEOGEN-005,,,,
NEOGEN-006,,,,
NORVET-006,,,,
NORVET-018,,,,
NORVET-027,GENTAJET 100ML,pz,450.0,315.0
NORVET-029,TRAMA PETS PLUS XS 10 TAB,pz,215.0,150.5
NORVET-034,AZUL VET AEROSOL,pz,237.0,165.9
NORVET-039,OMEGA PETS C30 TAB,pz,349.0,244.3
NORVET-042,DEXA JET NRV 100 ML,pz,314.0,219.8
NORVET-043,CEFA-PETS S 30 TAB 45mg A0064,pz,222.0,155.4
NORVET-047,SULFA JET 100ML,pz,630.0,441.0
NORVET-048,PREDNI PETS M 12.5MG 30 TAB AN0008,pz,332.0,232.4
NORVET-050,STOP JET 125 ML,pz,107.0,74.9
NORVET-052,TRAMADOL PETS S 10 MG. 10 TAB AN0037,pz,191.0,133.7
NORVET-057,TRAMADOL PETS M 20 MG 10 TAB AN0038,pz,246.0,172.2
NORVET-061,ENER JET LITE PLUS 500ML CABALLOS V0025,pz,254.0,177.8
NORVET-063,GABAPENTIN  L  250MG 30 TAB AN0064,pz,503.0,352.1
NORVET-064,TRAMA PETS PLUS S 10 TAB,pz,279.0,195.3
NORVET-065,PRODOL JET   30ML,pz,86.0,60.0
NORVET-066,DOLOCAR PLUS S 10 TAB,pz,159.0,111.3
NORVET-067,DOLOCAR PLUS M 10 TAB,pz,198.0,138.6
NORVET-068,DOLOCAR PLUS L 10 TAB,pz,371.0,259.7
NORVET-070,DOLOCAR PLUS XL 10 TAB,pz,686.0,480.2
NORVET-071,"TYRO PETS ""L"" 0.6mg 30 TAB H003",pz,198.0,
NORVET-072,FUROSI PETS 6MG S 20 TAB,pz,158.0,110.6
NORVET-073,FUROSI PETS 28MG M 20 TAB F0033,pz,206.0,144.2
NORVET-074,FUROSI PETS 50MG L 20 TAB,pz,238.0,166.6
NORVET-078,TRAMADOL PETS ORAL 30ML,pz,398.0,278.6
NORVET-080,PREDNI PETS L 30 TAB 25mg,pz,398.0,278.6
NORVET-081,TRAMADOL PETS L 40MG 10 TAB,pz,332.0,232.4
NORVET-083,DOXI PETS S 50MG 30 TAB. A0070,pz,238.0,166.6
NORVET-084,TYRO PETS XL .8MG 30 TAB H0004,pz,238.0,166.6
NORVET-086,PREDNI PETS S30 TAB 5mg   AN0007,pz,245.0,171.5
